Date,Issuer,Symbol, Managers,OfferP,OpeningP,FirstDayClose,ScoopStars,txtfile
9/27/2000,EDEN Bioscience ,EDEN,Merrill Lynch,$15.00 ,$24.09 ,$24.06 ,3,0000891020-00-001731.txt
5/7/2002,Quinton Cardiology Systems ,QUIN,Adams Harkness,$7.00 ,$7.50 ,$7.19 ,1,0000891020-02-000591.txt
10/19/2004,Celebrate Express ,BDAY,SG Cowen,$15.40 ,$16.25 ,$16.70 ,2,0000891020-04-000569.txt
6/13/2006,VeraSun Energy ,VSE,Morgan Stanley/Lehman Brothers,$23.00 ,$28.00 ,$30.00 ,4,0000891020-06-000155.txt
6/27/2006,Omniture ,OMTR,Morgan Stanley/Creidt Suisse,$6.50 ,$6.50 ,$6.53 ,1,0000891020-06-000169.txt
12/14/2006,Isilon Systems ,ISLN,Morgan Stanley/Merrill Lynch,$13.00 ,$25.00 ,$23.10 ,3,0000891020-06-000409.txt
12/13/2006,WSB Financial Group ,WSFG,D.A. Davidson,$16.50 ,$20.00 ,$18.70 ,2,0000891020-06-000412.txt
5/18/2000,New Focus ,NUFO,Credit Suisse First Boston,$20.00 ,$40.00 ,$51.00 ,3,0000891618-00-002977.txt
6/13/2000,Intuitive Surgical ,ISRG,Lehman Brothers,$9.00 ,$9.00 ,$9.03 ,1,0000891618-00-003361.txt
6/21/2000,Handspring ,HAND,Credit Suisse First Boston,$20.00 ,$27.00 ,$26.94 ,2,0000891618-00-003451.txt
6/22/2000,ClickSoftware ,CKSW,Lehman Brothers,$7.00 ,$7.00 ,$7.00 ,1,0000891618-00-003529.txt
6/27/2000,Marvell Technology Group ,MRVL,"Goldman, Sachs",$15.00 ,$47.50 ,$56.63 ,4,0000891618-00-003582.txt
6/29/2000,Virage ,VRGE,Credit Suisse First Boston,$11.00 ,$14.50 ,$16.88 ,3,0000891618-00-003644.txt
7/19/2000,Argonaut Technologies ,AGNT,UBS Warburg ,$15.00 ,$25.00 ,$23.44 ,3,0000891618-00-003969.txt
9/26/2000,CoSine Communications,COSN,"Goldman, Sachs",$23.00 ,$67.00 ,$63.06 ,5,0000891618-00-004699.txt
11/21/2000,Alliance Fiber Optic ,AFOP,Merrill Lynch,$11.00 ,$11.02 ,$10.13 ,1,0000891618-00-005195.txt
2/9/2001,Third Wave Tech ,TWTI,Lehman Brothers,$11.00 ,$11.00 ,$11.06 ,1,0000891618-01-000134.txt
8/1/2000,Virage Logic ,VIRL,Lehman Brothers,$12.00 ,$12.06 ,$12.44 ,3,0000891618-02-005379.txt
7/30/2003,NETGEAR,NTGR,Lehman Brothers,$14.00 ,$19.15 ,$17.69 ,3,0000891618-03-004023.txt
9/23/2003,AMIS Holdings,AMIS,CS First Boston/Goldman Sachs,$20.00 ,$21.06 ,$20.10 ,3,0000891618-03-004909.txt
10/29/2003,Genitope ,GTOP,WR Hambrecht+Co.,$9.00 ,$9.00 ,$10.00 ,1,0000891618-03-005583.txt
6/11/2003,FormFactor,FORM,Morgan Stanley,$14.00 ,$19.00 ,$17.58 ,3,0000891618-03-005678.txt
11/19/2003,Callidus Software ,CALD,Citigroup,$14.00 ,$17.20 ,$17.37 ,2,0000891618-03-006056.txt
2/2/2004,GTx ,GTXI,Goldman Sachs,$14.50 ,$15.27 ,$12.90 ,2,0000891618-04-000460.txt
6/21/2000,Cepheid ,CPHD,UBS Warburg ,$6.00 ,$6.25 ,$9.00 ,1,0000891618-04-000562.txt
5/19/2004,Blue Nile,NILE,Merrill/Lynch/Bear Stearns,$20.50 ,$25.00 ,$28.40 ,3,0000891618-04-001024.txt
6/15/2005,Micrus Endovascular ,MEND,AG Edwards/Needham,$11.00 ,$11.06 ,$11.01 ,1,0000891618-05-000431.txt
5/1/2007,Cavium Networks ,CAVM,Morgan Stanley/Lehman Brothers,$13.50 ,$16.50 ,$16.45 ,3,0000891618-07-000275.txt
11/19/2007,SuccessFactors ,SFSF,Morgan Stanley/Goldman Sachs,$10.00 ,$13.00 ,$13.25 ,2,0000891618-07-000656.txt
2/14/2008,ArcSight ,ARST,Morgan Stanley/Lehman Brothers,$9.00 ,$9.00 ,$8.78 ,2,0000891618-08-000093.txt
6/2/2000,EXULT,EXLT,Merrill Lynch,$10.00 ,$10.06 ,$10.00 ,1,0000892569-00-000415.txt
11/2/2000,UTiWorldwide ,UTIW,Bear Stearns,$15.00 ,$15.06 ,$17.44 ,1,0000892569-02-002546.txt
5/8/2008,Western Gas Partners LP ,WES,UBS Investment Bank/Citi/Credit Suisse/Morgan Stanley,$16.50 ,$16.50 ,$16.50 ,1,0000892569-03-001639.txt
4/28/2004,Barrier Therapeutics ,BTRX,Morgan Stanley,$15.00 ,$15.00 ,$14.60 ,2,0000893220-04-000830.txt
5/19/2004,Animas,PUMP,Piper Jaffray/JP Morgan,$15.00 ,$17.25 ,$18.00 ,2,0000893220-04-001093.txt
3/17/2017,ProPetro Holding ,PUMP,Goldman Sachs/ Barclays/ Credit Suisse/ J.P. Morgan,$14.00 ,$15.00 ,$14.50 ,1,0000893220-04-001093.txt
11/11/2003,Marlin Business Services ,MRLN,US Bancorp Piper Jaffray/Wm Blair,$14.00 ,$15.59 ,$16.15 ,3,0000893220-06-002486.txt
1/30/2007,HFF ,HF,"Goldman Sachs,/Morgan Stanley",$18.00 ,$18.15 ,$18.70 ,3,0000893220-07-000181.txt
